epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2168.38,1.52771,3.36092,1.73515,0.643,0.35268,0.43632,0.28848,1.18702,1.6207,1.29934,4.37915e-05,4.37915e-05,4.37915e-05
2,3465.44,1.49402,2.06301,1.6974,0.62068,0.53553,0.56685,0.38646,1.1889,1.32389,1.29985,7.91001e-05,7.91001e-05,7.91001e-05
3,4829.37,1.46392,1.78467,1.67824,0.6555,0.59351,0.6085,0.39187,1.40915,1.42972,1.4189,0.000105697,0.000105697,0.000105697
4,6198.91,1.43663,1.62304,1.64471,0.68482,0.54125,0.66157,0.42912,1.27572,1.16496,1.36102,9.2796e-05,9.2796e-05,9.2796e-05
5,7490.62,1.36171,1.34393,1.57167,0.75584,0.54513,0.70008,0.47852,1.15026,1.12319,1.25665,7.9728e-05,7.9728e-05,7.9728e-05
6,8826.39,1.26908,1.17232,1.51431,0.69999,0.65018,0.7687,0.54041,1.09061,0.95472,1.24017,6.666e-05,6.666e-05,6.666e-05
7,10217.9,1.19702,0.98143,1.44714,0.80127,0.71247,0.81657,0.6143,1.13432,0.8728,1.23215,5.3592e-05,5.3592e-05,5.3592e-05
8,11698.4,1.11312,0.87782,1.38868,0.77973,0.80641,0.85581,0.65552,1.0049,0.75145,1.17943,4.0524e-05,4.0524e-05,4.0524e-05
9,13052.7,1.0409,0.74714,1.32591,0.80255,0.79355,0.8905,0.68339,0.95512,0.69179,1.15148,2.7456e-05,2.7456e-05,2.7456e-05
10,14434.5,0.99519,0.68939,1.30361,0.86023,0.80708,0.89472,0.71314,0.95265,0.67679,1.14873,1.4388e-05,1.4388e-05,1.4388e-05
